COUNTRY,Country,SPECIES,Species,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CAN,Canada,STU,Sturgeons nei [Acipenseridae],TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,103,,
CAN,Canada,STU,Sturgeons nei [Acipenseridae],TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,113,,
CAN,Canada,STU,Sturgeons nei [Acipenseridae],TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,112,,
CAN,Canada,STU,Sturgeons nei [Acipenseridae],TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,114,,
CAN,Canada,STU,Sturgeons nei [Acipenseridae],TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,111,,
CAN,Canada,STU,Sturgeons nei [Acipenseridae],TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,242,,
CAN,Canada,STU,Sturgeons nei [Acipenseridae],TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,127,,
CAN,Canada,STU,Sturgeons nei [Acipenseridae],TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,120,,
CAN,Canada,STU,Sturgeons nei [Acipenseridae],TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,114,,
CAN,Canada,STU,Sturgeons nei [Acipenseridae],TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,120,,
CAN,Canada,STU,Sturgeons nei [Acipenseridae],TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,116,,
CAN,Canada,STU,Sturgeons nei [Acipenseridae],TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,126,,
CAN,Canada,STU,Sturgeons nei [Acipenseridae],TON,Tonne,2017,2017,TONNE,Tonnes,0,Units,,,122,,
CAN,Canada,22,River eels,TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,156,,
CAN,Canada,22,River eels,TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,146,,
CAN,Canada,22,River eels,TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,146,,
CAN,Canada,22,River eels,TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,158,,
CAN,Canada,22,River eels,TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,158,,
CAN,Canada,22,River eels,TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,61,,
CAN,Canada,22,River eels,TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,56,,
CAN,Canada,22,River eels,TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,51,,
CAN,Canada,22,River eels,TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,76,,
CAN,Canada,22,River eels,TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,73,,
CAN,Canada,22,River eels,TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,52,,
CAN,Canada,22,River eels,TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,45,,
CAN,Canada,22,River eels,TON,Tonne,2017,2017,TONNE,Tonnes,0,Units,,,47,,
CAN,Canada,ELA,American eel [Anguilla rostrata],TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,156,,
CAN,Canada,ELA,American eel [Anguilla rostrata],TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,146,,
CAN,Canada,ELA,American eel [Anguilla rostrata],TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,146,,
CAN,Canada,ELA,American eel [Anguilla rostrata],TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,158,,
CAN,Canada,ELA,American eel [Anguilla rostrata],TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,158,,
CAN,Canada,ELA,American eel [Anguilla rostrata],TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,61,,
CAN,Canada,ELA,American eel [Anguilla rostrata],TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,56,,
CAN,Canada,ELA,American eel [Anguilla rostrata],TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,51,,
CAN,Canada,ELA,American eel [Anguilla rostrata],TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,76,,
CAN,Canada,ELA,American eel [Anguilla rostrata],TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,73,,
CAN,Canada,ELA,American eel [Anguilla rostrata],TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,52,,
CAN,Canada,ELA,American eel [Anguilla rostrata],TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,45,,
CAN,Canada,ELA,American eel [Anguilla rostrata],TON,Tonne,2017,2017,TONNE,Tonnes,0,Units,,,47,,
CAN,Canada,23,"Salmons, trouts, smelts",TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,11052,,
CAN,Canada,23,"Salmons, trouts, smelts",TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,8896,,
CAN,Canada,23,"Salmons, trouts, smelts",TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,11753,,
CAN,Canada,23,"Salmons, trouts, smelts",TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,10954,,
CAN,Canada,23,"Salmons, trouts, smelts",TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,11209,,
CAN,Canada,23,"Salmons, trouts, smelts",TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,8943,,
CAN,Canada,23,"Salmons, trouts, smelts",TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,8520,,
CAN,Canada,23,"Salmons, trouts, smelts",TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,9433,,
