COUNTRY,Country,FLEET,Fleet,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,FWEM6,6-11.9 m,NU,Number of vessels,2009,2009,NBR,Number,0,Units,,,19,,
AUS,Australia,FWEM6,6-11.9 m,NU,Number of vessels,2010,2010,NBR,Number,0,Units,,,18,,
AUS,Australia,FWEM6,6-11.9 m,NU,Number of vessels,2011,2011,NBR,Number,0,Units,,,23,,
AUS,Australia,FWEM6,6-11.9 m,NU,Number of vessels,2012,2012,NBR,Number,0,Units,,,21,,
AUS,Australia,FWEM6,6-11.9 m,NU,Number of vessels,2013,2013,NBR,Number,0,Units,,,16,,
AUS,Australia,FWEM6,6-11.9 m,NU,Number of vessels,2014,2014,NBR,Number,0,Units,,,14,,
AUS,Australia,FWEM6,6-11.9 m,NU,Number of vessels,2015,2015,NBR,Number,0,Units,,,19,,
AUS,Australia,FWEM6,6-11.9 m,NU,Number of vessels,2016,2016,NBR,Number,0,Units,,,20,,
AUS,Australia,FWEM6,6-11.9 m,NU,Number of vessels,2017,2017,NBR,Number,0,Units,,,13,,
AUS,Australia,FWEM6,6-11.9 m,GT,Gross tonnage,2006,2006,TONNE,Tonnes,0,Units,,,228,,
AUS,Australia,FWEM6,6-11.9 m,GT,Gross tonnage,2007,2007,TONNE,Tonnes,0,Units,,,234,,
AUS,Australia,FWEM6,6-11.9 m,GT,Gross tonnage,2008,2008,TONNE,Tonnes,0,Units,,,209,,
AUS,Australia,FWEM6,6-11.9 m,GT,Gross tonnage,2009,2009,TONNE,Tonnes,0,Units,,,171,,
AUS,Australia,FWEM6,6-11.9 m,GT,Gross tonnage,2010,2010,TONNE,Tonnes,0,Units,,,168,,
AUS,Australia,FWEM6,6-11.9 m,GT,Gross tonnage,2011,2011,TONNE,Tonnes,0,Units,,,260,,
AUS,Australia,FWEM6,6-11.9 m,GT,Gross tonnage,2012,2012,TONNE,Tonnes,0,Units,,,267,,
AUS,Australia,FWEM6,6-11.9 m,GT,Gross tonnage,2013,2013,TONNE,Tonnes,0,Units,,,214,,
AUS,Australia,FWEM6,6-11.9 m,GT,Gross tonnage,2014,2014,TONNE,Tonnes,0,Units,,,185,,
AUS,Australia,FWEM6,6-11.9 m,GT,Gross tonnage,2015,2015,TONNE,Tonnes,0,Units,,,62,,
AUS,Australia,FWEM6,6-11.9 m,GT,Gross tonnage,2016,2016,TONNE,Tonnes,0,Units,,,86,,
AUS,Australia,FWEM6,6-11.9 m,GT,Gross tonnage,2017,2017,TONNE,Tonnes,0,Units,,,98,,
AUS,Australia,FWEM12,12-17.9 m,NU,Number of vessels,2005,2005,NBR,Number,0,Units,,,162,,
AUS,Australia,FWEM12,12-17.9 m,NU,Number of vessels,2006,2006,NBR,Number,0,Units,,,130,,
AUS,Australia,FWEM12,12-17.9 m,NU,Number of vessels,2007,2007,NBR,Number,0,Units,,,98,,
AUS,Australia,FWEM12,12-17.9 m,NU,Number of vessels,2008,2008,NBR,Number,0,Units,,,81,,
AUS,Australia,FWEM12,12-17.9 m,NU,Number of vessels,2009,2009,NBR,Number,0,Units,,,79,,
AUS,Australia,FWEM12,12-17.9 m,NU,Number of vessels,2010,2010,NBR,Number,0,Units,,,79,,
AUS,Australia,FWEM12,12-17.9 m,NU,Number of vessels,2011,2011,NBR,Number,0,Units,,,85,,
AUS,Australia,FWEM12,12-17.9 m,NU,Number of vessels,2012,2012,NBR,Number,0,Units,,,80,,
AUS,Australia,FWEM12,12-17.9 m,NU,Number of vessels,2013,2013,NBR,Number,0,Units,,,76,,
AUS,Australia,FWEM12,12-17.9 m,NU,Number of vessels,2014,2014,NBR,Number,0,Units,,,78,,
AUS,Australia,FWEM12,12-17.9 m,NU,Number of vessels,2015,2015,NBR,Number,0,Units,,,78,,
AUS,Australia,FWEM12,12-17.9 m,NU,Number of vessels,2016,2016,NBR,Number,0,Units,,,73,,
AUS,Australia,FWEM12,12-17.9 m,NU,Number of vessels,2017,2017,NBR,Number,0,Units,,,65,,
AUS,Australia,FWEM12,12-17.9 m,GT,Gross tonnage,2006,2006,TONNE,Tonnes,0,Units,,,7227,,
AUS,Australia,FWEM12,12-17.9 m,GT,Gross tonnage,2007,2007,TONNE,Tonnes,0,Units,,,6037,,
AUS,Australia,FWEM12,12-17.9 m,GT,Gross tonnage,2008,2008,TONNE,Tonnes,0,Units,,,5347,,
AUS,Australia,FWEM12,12-17.9 m,GT,Gross tonnage,2009,2009,TONNE,Tonnes,0,Units,,,3083,,
AUS,Australia,FWEM12,12-17.9 m,GT,Gross tonnage,2010,2010,TONNE,Tonnes,0,Units,,,3202,,
AUS,Australia,FWEM12,12-17.9 m,GT,Gross tonnage,2011,2011,TONNE,Tonnes,0,Units,,,3053,,
AUS,Australia,FWEM12,12-17.9 m,GT,Gross tonnage,2012,2012,TONNE,Tonnes,0,Units,,,3453,,
AUS,Australia,FWEM12,12-17.9 m,GT,Gross tonnage,2013,2013,TONNE,Tonnes,0,Units,,,3191,,
AUS,Australia,FWEM12,12-17.9 m,GT,Gross tonnage,2014,2014,TONNE,Tonnes,0,Units,,,3063,,
AUS,Australia,FWEM12,12-17.9 m,GT,Gross tonnage,2015,2015,TONNE,Tonnes,0,Units,,,5587,,
AUS,Australia,FWEM12,12-17.9 m,GT,Gross tonnage,2016,2016,TONNE,Tonnes,0,Units,,,5516,,
AUS,Australia,FWEM12,12-17.9 m,GT,Gross tonnage,2017,2017,TONNE,Tonnes,0,Units,,,2531,,
AUS,Australia,FWEM18,18-23.9 m,NU,Number of vessels,2005,2005,NBR,Number,0,Units,,,239,,
AUS,Australia,FWEM18,18-23.9 m,NU,Number of vessels,2006,2006,NBR,Number,0,Units,,,218,,
AUS,Australia,FWEM18,18-23.9 m,NU,Number of vessels,2007,2007,NBR,Number,0,Units,,,173,,
AUS,Australia,FWEM18,18-23.9 m,NU,Number of vessels,2008,2008,NBR,Number,0,Units,,,156,,
AUS,Australia,FWEM18,18-23.9 m,NU,Number of vessels,2009,2009,NBR,Number,0,Units,,,156,,
AUS,Australia,FWEM18,18-23.9 m,NU,Number of vessels,2010,2010,NBR,Number,0,Units,,,150,,
AUS,Australia,FWEM18,18-23.9 m,NU,Number of vessels,2011,2011,NBR,Number,0,Units,,,152,,
AUS,Australia,FWEM18,18-23.9 m,NU,Number of vessels,2012,2012,NBR,Number,0,Units,,,149,,
AUS,Australia,FWEM18,18-23.9 m,NU,Number of vessels,2013,2013,NBR,Number,0,Units,,,157,,
AUS,Australia,FWEM18,18-23.9 m,NU,Number of vessels,2014,2014,NBR,Number,0,Units,,,152,,
AUS,Australia,FWEM18,18-23.9 m,NU,Number of vessels,2015,2015,NBR,Number,0,Units,,,149,,
AUS,Australia,FWEM18,18-23.9 m,NU,Number of vessels,2016,2016,NBR,Number,0,Units,,,148,,
AUS,Australia,FWEM18,18-23.9 m,NU,Number of vessels,2017,2017,NBR,Number,0,Units,,,172,,
AUS,Australia,FWEM18,18-23.9 m,GT,Gross tonnage,2006,2006,TONNE,Tonnes,0,Units,,,23342,,
AUS,Australia,FWEM18,18-23.9 m,GT,Gross tonnage,2007,2007,TONNE,Tonnes,0,Units,,,18937,,
AUS,Australia,FWEM18,18-23.9 m,GT,Gross tonnage,2008,2008,TONNE,Tonnes,0,Units,,,17330,,
AUS,Australia,FWEM18,18-23.9 m,GT,Gross tonnage,2009,2009,TONNE,Tonnes,0,Units,,,12921,,
AUS,Australia,FWEM18,18-23.9 m,GT,Gross tonnage,2010,2010,TONNE,Tonnes,0,Units,,,13708,,
AUS,Australia,FWEM18,18-23.9 m,GT,Gross tonnage,2011,2011,TONNE,Tonnes,0,Units,,,13974,,
AUS,Australia,FWEM18,18-23.9 m,GT,Gross tonnage,2012,2012,TONNE,Tonnes,0,Units,,,13607,,
AUS,Australia,FWEM18,18-23.9 m,GT,Gross tonnage,2013,2013,TONNE,Tonnes,0,Units,,,15383,,
AUS,Australia,FWEM18,18-23.9 m,GT,Gross tonnage,2014,2014,TONNE,Tonnes,0,Units,,,14994,,
AUS,Australia,FWEM18,18-23.9 m,GT,Gross tonnage,2015,2015,TONNE,Tonnes,0,Units,,,13063,,
AUS,Australia,FWEM18,18-23.9 m,GT,Gross tonnage,2016,2016,TONNE,Tonnes,0,Units,,,13006,,
AUS,Australia,FWEM18,18-23.9 m,GT,Gross tonnage,2017,2017,TONNE,Tonnes,0,Units,,,15156,,
AUS,Australia,FWEM24,24-29.9 m,NU,Number of vessels,2005,2005,NBR,Number,0,Units,,,58,,
AUS,Australia,FWEM24,24-29.9 m,NU,Number of vessels,2006,2006,NBR,Number,0,Units,,,52,,
AUS,Australia,FWEM24,24-29.9 m,NU,Number of vessels,2007,2007,NBR,Number,0,Units,,,39,,
AUS,Australia,FWEM24,24-29.9 m,NU,Number of vessels,2008,2008,NBR,Number,0,Units,,,39,,
AUS,Australia,FWEM24,24-29.9 m,NU,Number of vessels,2009,2009,NBR,Number,0,Units,,,35,,
AUS,Australia,FWEM24,24-29.9 m,NU,Number of vessels,2010,2010,NBR,Number,0,Units,,,34,,
AUS,Australia,FWEM24,24-29.9 m,NU,Number of vessels,2011,2011,NBR,Number,0,Units,,,34,,
AUS,Australia,FWEM24,24-29.9 m,NU,Number of vessels,2012,2012,NBR,Number,0,Units,,,32,,
AUS,Australia,FWEM24,24-29.9 m,NU,Number of vessels,2013,2013,NBR,Number,0,Units,,,35,,
AUS,Australia,FWEM24,24-29.9 m,NU,Number of vessels,2014,2014,NBR,Number,0,Units,,,36,,
AUS,Australia,FWEM24,24-29.9 m,NU,Number of vessels,2015,2015,NBR,Number,0,Units,,,27,,
AUS,Australia,FWEM24,24-29.9 m,NU,Number of vessels,2016,2016,NBR,Number,0,Units,,,28,,
AUS,Australia,FWEM24,24-29.9 m,NU,Number of vessels,2017,2017,NBR,Number,0,Units,,,36,,
AUS,Australia,FWEM24,24-29.9 m,GT,Gross tonnage,2006,2006,TONNE,Tonnes,0,Units,,,11289,,
AUS,Australia,FWEM24,24-29.9 m,GT,Gross tonnage,2007,2007,TONNE,Tonnes,0,Units,,,8785,,
AUS,Australia,FWEM24,24-29.9 m,GT,Gross tonnage,2008,2008,TONNE,Tonnes,0,Units,,,9024,,
AUS,Australia,FWEM24,24-29.9 m,GT,Gross tonnage,2009,2009,TONNE,Tonnes,0,Units,,,5174,,
AUS,Australia,FWEM24,24-29.9 m,GT,Gross tonnage,2010,2010,TONNE,Tonnes,0,Units,,,5640,,
AUS,Australia,FWEM24,24-29.9 m,GT,Gross tonnage,2011,2011,TONNE,Tonnes,0,Units,,,5728,,
AUS,Australia,FWEM24,24-29.9 m,GT,Gross tonnage,2012,2012,TONNE,Tonnes,0,Units,,,5432,,
AUS,Australia,FWEM24,24-29.9 m,GT,Gross tonnage,2013,2013,TONNE,Tonnes,0,Units,,,5498,,
AUS,Australia,FWEM24,24-29.9 m,GT,Gross tonnage,2014,2014,TONNE,Tonnes,0,Units,,,5498,,
AUS,Australia,FWEM24,24-29.9 m,GT,Gross tonnage,2015,2015,TONNE,Tonnes,0,Units,,,3610,,
AUS,Australia,FWEM24,24-29.9 m,GT,Gross tonnage,2016,2016,TONNE,Tonnes,0,Units,,,3876,,
AUS,Australia,FWEM24,24-29.9 m,GT,Gross tonnage,2017,2017,TONNE,Tonnes,0,Units,,,5611,,
AUS,Australia,FWEM30,30-35.9 m,NU,Number of vessels,2005,2005,NBR,Number,0,Units,,,16,,
AUS,Australia,FWEM30,30-35.9 m,NU,Number of vessels,2006,2006,NBR,Number,0,Units,,,19,,
AUS,Australia,FWEM30,30-35.9 m,NU,Number of vessels,2007,2007,NBR,Number,0,Units,,,18,,
AUS,Australia,FWEM30,30-35.9 m,NU,Number of vessels,2008,2008,NBR,Number,0,Units,,,16,,
AUS,Australia,FWEM30,30-35.9 m,NU,Number of vessels,2009,2009,NBR,Number,0,Units,,,11,,
AUS,Australia,FWEM30,30-35.9 m,NU,Number of vessels,2010,2010,NBR,Number,0,Units,,,10,,
AUS,Australia,FWEM30,30-35.9 m,NU,Number of vessels,2011,2011,NBR,Number,0,Units,,,10,,
AUS,Australia,FWEM30,30-35.9 m,NU,Number of vessels,2012,2012,NBR,Number,0,Units,,,10,,
AUS,Australia,FWEM30,30-35.9 m,NU,Number of vessels,2013,2013,NBR,Number,0,Units,,,11,,
AUS,Australia,FWEM30,30-35.9 m,NU,Number of vessels,2014,2014,NBR,Number,0,Units,,,12,,
AUS,Australia,FWEM30,30-35.9 m,NU,Number of vessels,2015,2015,NBR,Number,0,Units,,,11,,
AUS,Australia,FWEM30,30-35.9 m,NU,Number of vessels,2016,2016,NBR,Number,0,Units,,,10,,
AUS,Australia,FWEM30,30-35.9 m,NU,Number of vessels,2017,2017,NBR,Number,0,Units,,,11,,
AUS,Australia,FWEM30,30-35.9 m,GT,Gross tonnage,2006,2006,TONNE,Tonnes,0,Units,,,6176,,
AUS,Australia,FWEM30,30-35.9 m,GT,Gross tonnage,2007,2007,TONNE,Tonnes,0,Units,,,5961,,
AUS,Australia,FWEM30,30-35.9 m,GT,Gross tonnage,2008,2008,TONNE,Tonnes,0,Units,,,5643,,
AUS,Australia,FWEM30,30-35.9 m,GT,Gross tonnage,2009,2009,TONNE,Tonnes,0,Units,,,2940,,
AUS,Australia,FWEM30,30-35.9 m,GT,Gross tonnage,2010,2010,TONNE,Tonnes,0,Units,,,2744,,
